Date,Close
3/1/2013,55.41053
4/1/2013,53.867073
7/1/2013,53.550209
8/1/2013,53.694336
9/1/2013,52.855141
10/1/2013,53.510345
11/1/2013,53.182232
14/1/2013,51.286152
15/1/2013,49.668106
16/1/2013,51.729763
17/1/2013,51.381218
18/1/2013,51.107292
22/1/2013,51.594852
23/1/2013,52.539307
24/1/2013,46.047665
25/1/2013,44.962143
28/1/2013,45.979191
29/1/2013,46.841866
30/1/2013,46.694683
31/1/2013,46.557709
1/2/2013,46.36657
4/2/2013,45.211544
5/2/2013,46.79792
6/2/2013,46.747833
7/2/2013,49.882107
8/2/2013,50.602283
11/2/2013,51.129639
12/2/2013,49.848011
13/2/2013,49.753197
14/2/2013,49.708454
15/2/2013,49.023434
19/2/2013,49.005325
20/2/2013,47.818512
21/2/2013,47.521278
22/2/2013,48.027321
25/2/2013,47.173977
26/2/2013,47.831299
27/2/2013,47.362541
28/2/2013,47.02483
1/3/2013,45.860394
4/3/2013,44.750282
5/3/2013,45.93177
6/3/2013,45.347954
7/3/2013,45.872112
8/3/2013,45.993565
11/3/2013,46.64875
12/3/2013,45.643055
13/3/2013,45.634529
14/3/2013,46.076653
15/3/2013,47.265602
18/3/2013,48.550411
19/3/2013,48.419376
20/3/2013,48.162624
21/3/2013,48.231873
22/3/2013,49.209873
25/3/2013,49.387787
26/3/2013,49.127838
27/3/2013,48.162624
28/3/2013,47.159058
1/4/2013,45.694187
2/4/2013,45.787945
3/4/2013,46.022331
4/4/2013,45.567406
5/4/2013,45.085869
8/4/2013,45.406548
9/4/2013,45.488579
10/4/2013,46.416504
11/4/2013,46.271622
12/4/2013,45.789009
15/4/2013,44.728985
16/4/2013,45.40974
17/4/2013,42.912548
18/4/2013,41.767284
19/4/2013,41.605354
22/4/2013,42.472557
23/4/2013,43.267307
24/4/2013,43.195934
25/4/2013,43.507019
26/4/2013,44.446663
29/4/2013,45.823101
30/4/2013,47.171841
1/5/2013,46.800037
2/5/2013,47.463753
3/5/2013,47.938904
6/5/2013,49.082027
7/5/2013,48.863625
8/5/2013,49.415493
9/5/2013,51.01022
10/5/2013,50.585846
13/5/2013,50.78352
14/5/2013,49.568485
15/5/2013,47.892227
16/5/2013,48.532135
17/5/2013,48.384708
20/5/2013,49.464622
21/5/2013,49.09943
22/5/2013,49.288166
23/5/2013,49.376404
24/5/2013,49.71254
28/5/2013,49.298222
29/5/2013,49.690205
30/5/2013,50.430611
31/5/2013,50.224026
3/6/2013,50.334583
4/6/2013,50.177113
5/6/2013,49.708073
6/6/2013,48.965431
7/6/2013,49.33955
10/6/2013,49.013451
11/6/2013,48.869389
12/6/2013,48.265221
13/6/2013,48.68623
14/6/2013,48.026234
17/6/2013,48.243999
18/6/2013,48.218319
19/6/2013,47.238911
20/6/2013,46.550999
21/6/2013,46.177994
24/6/2013,44.954037
25/6/2013,44.964077
