Date,AAPL,AMZN,GOOG,MSFT
6/3/2013,50.334583,266.880005,431.011688,31.237135
6/4/2013,50.177113,265.700012,426.774231,30.710516
6/5/2013,49.708073,267.170013,427.072296,30.526196
6/6/2013,48.965431,267.829987,429.526337,30.684189
6/7/2013,49.33955,276.869995,437.022583,31.307341
6/10/2013,49.013451,281.070007,442.233704,31.131804
6/11/2013,48.869389,274.779999,437.062317,30.578871
6/12/2013,48.265221,271.670013,433.172638,30.719296
6/13/2013,48.68623,275.790009,435.666412,30.473534
6/14/2013,48.026234,273.98999,434.692749,30.19268
6/17/2013,48.243999,278.059998,440.261536,30.719296
6/18/2013,48.218319,281.76001,447.400085,30.701742
6/19/2013,47.238911,278.160004,447.429901,30.359434
6/20/2013,46.550999,273.440002,439.511414,29.39398
6/21/2013,46.177994,273.359985,437.618713,29.200874
6/24/2013,44.954037,270.609985,432.084717,29.59584
6/25/2013,44.964077,272.089996,430.3013,29.551958
6/26/2013,44.454842,277.570007,434.002228,30.148783
6/27/2013,43.975746,277.549988,435.701172,30.385771
6/28/2013,44.282856,277.690002,437.340515,30.315554
7/1/2013,45.700024,282.100006,441.071259,30.157572
7/2/2013,46.735256,283.730011,438.30426,29.788933
7/3/2013,46.99324,284.029999,440.350952,29.850372
7/5/2013,46.615765,285.880005,443.858124,30.025915
7/8/2013,46.351101,290.589996,449.620636,30.131235
7/9/2013,47.166321,291.529999,449.69516,30.148783
7/10/2013,46.985416,292.329987,450.067749,30.455982
7/11/2013,47.718018,299.660004,457.146698,31.3249
7/12/2013,47.630898,307.549988,458.517792,31.307341
7/15/2013,47.734756,306.570007,459.35733,31.746189
7/16/2013,48.042988,306.869995,456.83374,31.833965
7/17/2013,48.055279,308.690002,456.307159,31.368786
7/18/2013,48.217205,304.109985,452.397583,31.105478
7/19/2013,47.456684,305.230011,445.403076,27.559591
7/22/2013,47.608566,303.480011,452.407532,28.094992
7/23/2013,46.791103,301.059998,448.979828,27.928225
7/24/2013,49.194363,298.940002,448.532715,28.051102
7/25/2013,48.969887,303.399994,440.981842,27.550819
7/26/2013,49.247967,312.01001,439.814423,27.752687
7/29/2013,50.007366,306.100006,438.284393,27.68247
7/30/2013,50.624939,302.410004,442.581421,27.954556
7/31/2013,50.536705,301.220001,441.006683,27.945776
8/1/2013,51.000156,305.570007,449.188477,27.79657
8/2/2013,51.654587,304.209991,450.355865,27.989662
8/5/2013,52.42627,300.98999,449.575928,27.822905
8/6/2013,51.957214,300.75,445.388184,27.717581
8/7/2013,51.927071,296.910004,442.447296,28.13887
8/8/2013,53.961407,295.73999,443.445801,28.867359
8/9/2013,53.193562,297.26001,442.328094,28.700598
8/12/2013,54.704689,296.690002,439.893921,28.849804
8/13/2013,57.304371,293.970001,437.777679,28.487413
8/14/2013,58.349628,291.339996,432.094635,28.593481
8/15/2013,58.280575,286.470001,427.052429,28.098505
8/16/2013,58.797932,284.820007,425.68631,28.107346
8/19/2013,59.431183,285.570007,430.028076,27.744955
8/20/2013,58.650459,287.089996,429.913818,27.948248
8/21/2013,58.801445,284.570007,431.856201,27.939409
8/22/2013,58.87167,289.730011,434.032043,28.628834
8/23/2013,58.644596,290.01001,432.293335,30.714787
8/26/2013,58.872845,286.209991,430.395691,30.184462
8/27/2013,57.189667,280.929993,422.328156,29.397816
8/28/2013,57.460041,281.579987,421.533325,29.185678
8/29/2013,57.553684,283.980011,424.951111,29.654133
8/30/2013,57.029301,280.980011,420.713654,29.521549
9/3/2013,57.188484,288.799988,427.410095,28.178057
9/4/2013,58.371876,293.640015,432.998749,27.577023
9/5/2013,57.971546,294.100006,436.938141,27.60354
9/6/2013,58.316849,295.859985,436.948059,27.532822
9/9/2013,59.247417,299.709991,441.155701,27.983601
9/10/2013,57.897804,300.359985,441.463715,28.628834
9/11/2013,54.74564,299.640015,445.199402,28.938194
9/12/2013,55.328552,298.859985,443.644531,28.893999
9/13/2013,54.416737,297.920013,441.662415,29.194519
9/16/2013,52.686726,296.059998,441.011658,28.991226
9/17/2013,53.295391,304.170013,440.191986,29.106125
9/18/2013,54.390984,312.029999,448.741364,29.450836
9/19/2013,55.282909,312.059998,446.292297,29.733681
9/20/2013,54.710537,316.339996,448.637054,28.982388
9/23/2013,57.429626,311.48999,440.385712,28.938194
9/24/2013,57.249359,314.130005,440.554626,28.681866
9/25/2013,56.363281,312.649994,435.78067,28.7349
9/26/2013,56.912243,318.119995,436.24762,28.964708
9/27/2013,56.506096,316.01001,435.363373,29.406641
9/30/2013,55.803791,312.640015,435.124939,29.415483
10/1/2013,57.115917,320.950012,440.634094,29.680655
10/2/2013,57.303196,320.51001,441.125916,29.981167
10/3/2013,56.58334,314.76001,435.214355,29.928139
10/4/2013,56.53886,319.040009,433.356445,29.945812
10/7/2013,57.091335,310.029999,430.072784,29.433165
10/8/2013,56.294216,303.230011,424.076782,29.17684
10/9/2013,56.955563,298.230011,425.164703,29.229876
10/10/2013,57.312565,305.170013,431.314728,29.839748
10/11/2013,57.683609,310.890015,433.177612,30.166788
10/14/2013,58.061687,310.700012,435.224274,30.449631
10/15/2013,58.370701,306.399994,438.155212,30.484987
10/16/2013,58.65514,310.48999,446.113464,30.617565
10/17/2013,59.051937,310.769989,441.523315,30.865053
10/18/2013,59.565788,328.929993,502.437134,30.900402
10/21/2013,61.02541,326.440002,498.408325,30.926914
10/22/2013,60.85099,332.540009,500.246368,30.564528
10/23/2013,61.446785,326.76001,512.372498,29.839748
10/24/2013,62.260284,332.209991,509.461456,29.804392
10/25/2013,61.563847,363.390015,504.319885,31.580988
10/28/2013,62.022671,358.160004,504.22052,31.439569
10/29/2013,60.477608,362.700012,514.771912,31.395376
10/30/2013,61.43977,361.079987,511.880707,31.413054
10/31/2013,61.18224,364.029999,511.960205,31.298151
11/1/2013,60.86974,359,510.20163,31.404211
11/4/2013,61.656311,358.73999,509.739624,31.766609
11/5/2013,61.50415,358.890015,507.459473,32.385323
11/6/2013,63.556316,356.179993,508.070496,33.74649
11/7/2013,62.527794,343.559998,500.718323,33.145454
11/8/2013,63.51239,350.309998,504.732208,33.392948
11/11/2013,63.328152,354.380005,502.029785,33.225006
11/12/2013,63.445282,349.529999,502.620941,33.021709
11/13/2013,63.52095,356.220001,512.899109,33.728809
11/14/2013,64.439667,367.399994,514.270142,33.605072
11/15/2013,64.052887,369.170013,513.440552,33.445965
11/18/2013,63.276924,366.179993,512.442078,32.880302
11/19/2013,63.389168,364.940002,509.287567,32.719994
11/20/2013,62.834023,362.570007,507.851898,33.022789
11/21/2013,63.583153,368.920013,513.693909,33.30777
11/22/2013,63.41967,372.309998,512.610962,33.45916
11/25/2013,63.90036,376.640015,519.585571,33.521511
11/26/2013,65.078964,381.369995,525.785278,33.263245
11/27/2013,66.611382,386.709991,528.120117,33.485889
11/29/2013,67.844879,393.619995,526.37146,33.957901
12/2/2013,67.254379,392.299988,523.832947,34.242878
12/3/2013,69.095459,384.660004,523.226929,34.118206
12/4/2013,68.93441,385.959991,525.671021,34.679268
12/5/2013,69.288246,384.48999,525.253723,33.842117
12/6/2013,68.326805,386.950012,531.478271,34.162727
12/9/2013,69.108879,384.890015,535.586548,34.474426
12/10/2013,69.001526,387.779999,538.825439,33.94009
12/11/2013,68.49028,382.190002,535.164246,33.494789
12/12/2013,68.390251,381.25,531.522949,33.147461
12/13/2013,67.644798,384.23999,526.96759,32.675457
12/16/2013,68.019371,388.970001,533.023193,32.853569
12/17/2013,67.713127,387.649994,531.473267,32.524052
12/18/2013,67.198242,395.959991,538.870178,32.577492
12/19/2013,66.428375,395.190002,539.600403,32.283604
12/20/2013,66.984726,402.200012,546.753906,32.773422
12/23/2013,69.55542,402.920013,553.947083,32.613125
12/24/2013,69.260162,399.200012,552.327637,33.022789
12/26/2013,68.800194,404.390015,555.119507,33.343395
12/27/2013,68.33535,398.079987,555.586426,33.209812
12/30/2013,67.655769,393.369995,551.145325,33.209812
12/31/2013,68.44883,398.790009,556.734009,33.316677
1/2/2014,67.486176,397.970001,552.963501,33.094032
1/3/2014,66.003777,396.440002,548.929749,32.871384
1/6/2014,66.363701,393.630005,555.049927,32.176739
1/7/2014,65.889114,398.029999,565.750366,32.426094
1/8/2014,66.306381,401.920013,566.927673,31.847221
1/9/2014,65.459641,401.01001,561.468201,31.642389
1/10/2014,65.022835,397.660004,561.438354,32.096584
1/13/2014,65.363243,390.980011,557.861633,31.152563
1/14/2014,66.663857,397.540009,570.986267,31.865026
1/15/2014,68.002266,395.869995,570.598816,32.737797
1/16/2014,67.622818,395.799988,574.374268,32.853569
1/17/2014,65.965965,399.609985,571.547607,32.399384
1/21/2014,66.990822,407.049988,578.090088,32.212349
1/22/2014,67.288521,404.540009,578.745789,31.998613
1/23/2014,67.858315,399.869995,576.301697,32.114388
1/24/2014,66.624802,387.600006,558.283875,32.782333
1/27/2014,67.165314,386.279999,547.056946,32.087673
1/28/2014,61.796963,394.429993,557.876526,32.301414
1/29/2014,61.095417,384.200012,549.883545,32.648743
1/30/2014,60.977062,403.01001,564.02655,32.826859
1/31/2014,61.077103,358.690002,586.669312,33.699623
2/3/2014,61.190567,346.149994,563.052856,32.488434
2/4/2014,62.076363,347.950012,565.402588,32.372662
2/5/2014,62.539982,346.450012,567.906311,31.900644
2/6/2014,65.247871,354.589996,576.232178,32.221256
2/7/2014,66.160698,361.079987,584.91571,32.559685
2/10/2014,67.34597,360.869995,582.675232,32.773422
2/11/2014,68.233299,361.790009,591.244507,33.102936
2/12/2014,68.228233,349.25,589.510803,33.370113
2/13/2014,69.311623,357.200012,596.07312,33.494789
