15/7/2013,21303.31055,68.05,63.6391
16/7/2013,21312.38086,68.01,65.3023
17/7/2013,21371.86914,68.36,65.3419
18/7/2013,21345.2207,68.52,64.9063
19/7/2013,21362.41992,69.32,66.0944
22/7/2013,21416.5,69.68,64.8667
23/7/2013,21915.41992,70.28,65.8567
24/7/2013,21968.92969,70.44,65.5003
25/7/2013,21900.96094,70,66.2132
26/7/2013,21968.94922,70.44,68.7872
29/7/2013,21850.15039,70.04,69.2228
30/7/2013,21953.96094,69.84,71.9949
31/7/2013,21883.66016,69.68,69.6585
1/8/2013,22088.78906,70.72,71.4009
2/8/2013,22190.9707,71,71.3217
5/8/2013,22222.00977,71.6,73.4602
6/8/2013,21923.69922,68.05,74.371
7/8/2013,21588.83984,67.25,71.3217
8/8/2013,21655.88086,67.37,70.5693
9/8/2013,21807.56055,67.77,70.7673
12/8/2013,22271.2793,68.56,72.7474
13/8/2013,22541.13086,68.88,73.2622
15/8/2013,22539.25,69,72.8662
16/8/2013,22517.81055,68.88,72.589
19/8/2013,22463.69922,68.68,73.3018
20/8/2013,21970.28906,67.69,72.0741
21/8/2013,21817.73047,67.42,71.2821
22/8/2013,21895.40039,67.42,71.2821
23/8/2013,21863.50977,67.54,70.4505
26/8/2013,22005.32031,67.87,70.6485
27/8/2013,21874.76953,67.06,71.6781
28/8/2013,21524.65039,66.17,70.5297
29/8/2013,21704.7793,66.58,71.6385
30/8/2013,21731.36914,66.17,71.9949
2/9/2013,22175.33984,67.06,74.5294
3/9/2013,22394.58008,67.67,75.2026
4/9/2013,22326.2207,67.58,75.0442
5/9/2013,22597.9707,68.96,76.7471
6/9/2013,22621.2207,69.68,76.6283
9/9/2013,22750.65039,69.12,77.3015
10/9/2013,22976.65039,69.32,79.0043
11/9/2013,22937.14063,69.04,79.638
12/9/2013,22953.7207,69.16,81.7368
13/9/2013,22915.2793,69.36,81.3408
16/9/2013,23252.41016,70.29,83.4001
17/9/2013,23180.51953,69.56,82.9249
18/9/2013,23117.44922,69.56,79.6776
19/9/2013,23502.50977,70.97,81.222
23/9/2013,23371.53906,69.64,81.024
24/9/2013,23179.03906,69.2,79.7172
25/9/2013,23209.63086,68.71,81.1032
26/9/2013,23125.0293,68.75,80.9844
27/9/2013,23207.03906,68.88,82.7268
30/9/2013,22859.85938,68.07,80.5488
2/10/2013,22984.48047,67.91,82.1724
3/10/2013,23214.40039,68.07,83.1229
4/10/2013,23138.53906,68.07,83.0041
7/10/2013,22973.94922,67.58,82.6081
8/10/2013,23178.84961,67.63,84.3505
9/10/2013,23033.9707,67.22,81.9348
10/10/2013,22951.30078,67.34,81.1428
11/10/2013,23218.32031,68.19,82.9645
15/10/2013,23336.51953,68.71,83.5189
16/10/2013,23228.33008,68.51,83.4397
17/10/2013,23094.88086,67.83,83.2021
18/10/2013,23340.09961,68.47,85.1029
21/10/2013,23438.15039,68.63,88.667
22/10/2013,23315.99023,69,86.9642
23/10/2013,22999.94922,68.9,85.1821
24/10/2013,22835.82031,69.06,84.9049
25/10/2013,22698.33984,69.18,84.3901
28/10/2013,22806.58008,69.34,85.7365
29/10/2013,22846.53906,69.42,82.8457
30/10/2013,23304.01953,70.04,84.8653
31/10/2013,23206.36914,69.59,83.7961
1/11/2013,23249.78906,69.55,83.6773
4/11/2013,23189.61914,69.3,82.5288
5/11/2013,23038.94922,70.32,81.5388
6/11/2013,23036.93945,70.52,81.5784
7/11/2013,22881.0293,69.91,80.6676
8/11/2013,22744.39063,69.55,79.4796
11/11/2013,23069.84961,70.65,81.42
12/11/2013,22901.41016,70.04,80.9844
13/11/2013,22463.83008,69.06,77.7371
14/11/2013,22649.15039,69.3,81.3408
15/11/2013,23032.15039,69.71,83.0833
18/11/2013,23660.06055,70.24,84.3505
19/11/2013,23657.81055,70.44,82.9645
20/11/2013,23700.85938,70.61,82.9645
21/11/2013,23580.28906,70.4,83.5189
22/11/2013,23696.2793,70.52,84.0733
25/11/2013,23684.44922,70.44,86.7266
26/11/2013,23681.2793,70.61,86.5286
27/11/2013,23806.34961,70.85,87.3998
28/11/2013,23789.08984,70.56,87.5186
29/11/2013,23881.28906,70.52,88.7858
2/12/2013,24038.55078,70.89,89.9343
3/12/2013,23910.4707,70.4,88.667
4/12/2013,23728.69922,69.55,87.8354
5/12/2013,23712.57031,68.57,89.063
6/12/2013,23743.09961,68.57,91.0827
9/12/2013,23811.16992,68.57,91.5579
10/12/2013,23744.18945,68.33,92.3103
11/12/2013,23338.24023,67.43,93.9736
12/12/2013,23218.11914,67.23,92.5479
13/12/2013,23245.96094,67.27,92.3103
16/12/2013,23114.66016,66.62,93.6568
17/12/2013,23069.23047,66.82,92.2311
18/12/2013,23143.82031,66.94,92.5083
19/12/2013,22888.75,66.82,91.8351
20/12/2013,22812.17969,66.78,91.7955
23/12/2013,22921.56055,67.23,92.5083
24/12/2013,23179.55078,68,92.9043
27/12/2013,23243.24023,68.33,95.6764
30/12/2013,23244.86914,68.53,98.1713
31/12/2013,23306.39063,68.53,97.9337
2/1/2014,23340.05078,68.9,99.894
3/1/2014,22817.2793,67.55,97.8149
6/1/2014,22684.15039,67.71,98.1317
7/1/2014,22712.7793,68.33,97.8149
8/1/2014,22996.58984,69.55,99.2999
9/1/2014,22787.33008,69.42,97.6169
10/1/2014,22846.25,69.55,98.4881
13/1/2014,22888.75977,70.04,98.3297
14/1/2014,22791.2793,69.38,97.6169
15/1/2014,22902,69.75,100.686
16/1/2014,22986.41016,70.08,101.478
17/1/2014,23133.34961,69.91,104.7451
20/1/2014,22928.94922,69.83,103.0621
21/1/2014,23033.11914,69.83,102.9631
22/1/2014,23082.25,70.04,104.3491
23/1/2014,22733.90039,69.34,103.3591
24/1/2014,22450.06055,68.73,99.2009
27/1/2014,21976.09961,66.86,96.9041
