,Date,Adj Close
0,2016-01-04,-0.5381459999999976
1,2016-01-05,-3.109536999999989
2,2016-01-06,-5.067303999999993
3,2016-01-07,-9.206856000000002
4,2016-01-08,-8.710107000000008
5,2016-01-11,-7.180909
6,2016-01-12,-5.788071000000002
7,2016-01-13,-8.291281999999995
8,2016-01-14,-6.216639000000001
9,2016-01-15,-8.544527000000002
10,2016-01-19,-9.002307000000002
11,2016-01-20,-8.875687999999997
12,2016-01-21,-9.352952000000002
13,2016-01-22,-4.366013999999993
14,2016-01-25,-6.294554000000005
15,2016-01-26,-5.75885199999999
16,2016-01-27,-12.158110999999991
17,2016-01-28,-11.505524999999992
18,2016-01-29,-8.339984999999999
19,2016-02-01,-9.226332999999997
20,2016-02-02,-11.125653
21,2016-02-03,-9.304254999999998
22,2016-02-04,-8.550201999999999
23,2016-02-05,-11.076791
24,2016-02-08,-10.107281
25,2016-02-09,-10.126871000000008
26,2016-02-10,-10.831965999999994
27,2016-02-11,-11.390165999999994
28,2016-02-12,-11.106169000000008
29,2016-02-16,-8.511028999999994
30,2016-02-17,-7.061665000000005
31,2016-02-18,-8.883159000000006
32,2016-02-19,-9.098606000000004
33,2016-02-22,-8.275999999999996
34,2016-02-23,-10.420656000000008
35,2016-02-24,-9.039850000000001
36,2016-02-25,-8.39351099999999
37,2016-02-26,-8.246613999999994
38,2016-02-29,-8.462060999999991
39,2016-03-01,-4.701562999999993
40,2016-03-02,-4.4861159999999956
41,2016-03-03,-3.7516430000000014
42,2016-03-04,-2.272902000000002
43,2016-03-07,-3.3892999999999915
44,2016-03-08,-4.211913999999993
45,2016-03-09,-4.123773
46,2016-03-10,-4.074812999999992
47,2016-03-11,-3.007374999999996
48,2016-03-14,-2.7527630000000016
49,2016-03-15,-0.7354050000000001
50,2016-03-16,0.6258179999999953
51,2016-03-17,0.45933899999999994
52,2016-03-18,0.5768500000000074
53,2016-03-21,0.5670620000000071
54,2016-03-22,1.3602909999999895
55,2016-03-23,0.7825010000000105
56,2016-03-24,0.33202500000000157
57,2016-03-28,-0.13803300000000718
58,2016-03-29,2.300415000000001
59,2016-03-30,4.1414919999999995
60,2016-03-31,3.583292
61,2016-04-01,4.56259
62,2016-04-04,5.669201000000001
63,2016-04-05,4.386315999999994
64,2016-04-06,5.512509999999992
65,2016-04-07,3.1426119999999855
66,2016-04-08,3.2601300000000037
67,2016-04-11,3.6126699999999943
68,2016-04-12,5.003278000000009
69,2016-04-13,6.570153000000005
70,2016-04-14,6.62890800000001
71,2016-04-15,4.425488999999999
72,2016-04-18,2.1045589999999947
73,2016-04-19,1.546360000000007
74,2016-04-20,1.7617990000000106
75,2016-04-21,0.6258179999999953
76,2016-04-22,0.34181999999999846
77,2016-04-25,-0.24575600000000009
78,2016-04-26,-0.9606470000000087
79,2016-04-27,-7.355457999999999
80,2016-04-28,-10.283555000000007
81,2016-04-29,-11.350993000000003
82,2016-05-02,-11.448920999999999
83,2016-05-03,-9.94080199999999
84,2016-05-04,-10.910304999999994
85,2016-05-05,-11.284704000000005
86,2016-05-06,-11.797035999999991
87,2016-05-09,-11.728068000000007
88,2016-05-10,-11.107357000000007
89,2016-05-11,-12.00394
90,2016-05-12,-14.141959
91,2016-05-13,-13.964611999999988
92,2016-05-16,-10.654139
93,2016-05-17,-11.038389999999993
94,2016-05-18,-9.984161999999998
95,2016-05-19,-10.338856000000007
96,2016-05-20,-9.33388699999999
97,2016-05-23,-8.141722999999999
98,2016-05-24,-6.693389999999994
99,2016-05-25,-4.998741999999993
100,2016-05-26,-4.220385999999991
101,2016-05-27,-4.279505999999998
102,2016-05-31,-4.762281999999999
103,2016-06-01,-6.141647000000006
104,2016-06-02,-6.870736999999991
105,2016-06-03,-6.6736879999999985
106,2016-06-06,-5.974154999999996
107,2016-06-07,-5.580048999999988
108,2016-06-08,-5.668718999999996
109,2016-06-09,-4.96918500000001
110,2016-06-10,-5.777097999999995
111,2016-06-13,-7.245141000000004
112,2016-06-14,-7.126907000000003
113,2016-06-15,-7.4421899999999965
114,2016-06-16,-7.038229000000001
115,2016-06-17,-9.225508000000005
116,2016-06-20,-9.452121000000005
117,2016-06-21,-8.654055
118,2016-06-22,-9.008748999999995
119,2016-06-23,-8.466860999999994
120,2016-06-24,-11.127059000000003
121,2016-06-27,-12.467012999999994
122,2016-06-28,-10.939864999999998
123,2016-06-29,-10.141798999999992
124,2016-06-30,-8.959491
125,2016-07-01,-8.673763999999991
126,2016-07-05,-9.56049999999999
127,2016-07-06,-9.028458999999998
128,2016-07-07,-8.624497999999988
129,2016-07-08,-7.895408000000003
130,2016-07-11,-7.599826999999991
131,2016-07-12,-7.166318000000004
132,2016-07-13,-7.708206000000004
133,2016-07-14,-5.816509000000011
134,2016-07-15,-5.826363999999998
135,2016-07-18,-4.7918379999999985
136,2016-07-19,-4.752426999999997
137,2016-07-20,-4.663757000000004
138,2016-07-21,-5.185944000000006
139,2016-07-22,-5.944589999999991
140,2016-07-25,-7.245141000000004
141,2016-07-26,-7.905262999999991
142,2016-07-27,-1.7178320000000014
143,2016-07-28,-0.34832200000001023
144,2016-07-29,-0.4764030000000048
145,2016-08-01,1.336478999999997
146,2016-08-02,-0.2103790000000032
147,2016-08-03,1.0803089999999997
